2024-10-24 22:09:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@71d99732, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2328ec73, org.springframework.security.web.context.SecurityContextPersistenceFilter@1d806de6, org.springframework.security.web.header.HeaderWriterFilter@67c0c90b, org.springframework.web.filter.CorsFilter@42a05533, org.springframework.security.web.csrf.CsrfFilter@460eb276, org.springframework.security.web.authentication.logout.LogoutFilter@2efcc0b3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@77eb607e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5503c7d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@17053b5, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4392362c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f541e67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2be50bba, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3cad24ae, org.springframework.security.web.session.SessionManagementFilter@35454c7a, org.springframework.security.web.access.ExceptionTranslationFilter@2e426dd2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@71262020]
2024-10-24 22:09:32 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:09:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2024-10-24 22:09:32 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:09:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2024-10-24 22:09:32 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:09:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2024-10-24 22:09:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8899"]
2024-10-24 22:09:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8899 (http) with context path ''
2024-10-24 22:09:33 [main] INFO  c.a.config.AfrocasaConfigApplication - Started AfrocasaConfigApplication in 7.376 seconds (JVM running for 8.324)
2024-10-24 22:20:40 [http-nio-8899-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-24 22:20:40 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-10-24 22:20:40 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2024-10-24 22:23:23 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-10-24 22:23:23 [main] INFO  c.a.config.AfrocasaConfigApplication - Starting AfrocasaConfigApplication using Java 17.0.6 on MacBook-Pro.attlocal.net with PID 5687 (/Users/bereketfrezghi/afrocasa-services /AfrocasaConfig/target/classes started by bereketfrezghi in /Users/bereketfrezghi/afrocasa-services )
2024-10-24 22:23:23 [main] INFO  c.a.config.AfrocasaConfigApplication - No active profile set, falling back to 1 default profile: "default"
2024-10-24 22:23:25 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f9d2092-fcf5-326d-bdaa-82be698c4207
2024-10-24 22:23:25 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-10-24 22:23:25 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-10-24 22:23:25 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-24 22:23:25 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-10-24 22:23:25 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-24 22:23:25 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2314 ms
2024-10-24 22:23:28 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-10-24 22:23:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2acb1264, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@30a01dd8, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ceb68a1, org.springframework.security.web.header.HeaderWriterFilter@4a453f8d, org.springframework.web.filter.CorsFilter@1f68e4e8, org.springframework.security.web.csrf.CsrfFilter@5503c7d, org.springframework.security.web.authentication.logout.LogoutFilter@40863800, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2f6e92ca, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@13d984ee, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@47b4ac83, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@56299b0e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69c33ea2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@59e0d521, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@351ede23, org.springframework.security.web.session.SessionManagementFilter@53525379, org.springframework.security.web.access.ExceptionTranslationFilter@3460e4ed, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d622556]
2024-10-24 22:23:28 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:23:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2024-10-24 22:23:28 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:23:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2024-10-24 22:23:28 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:23:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2024-10-24 22:23:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-10-24 22:23:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-10-24 22:23:29 [main] INFO  c.a.config.AfrocasaConfigApplication - Started AfrocasaConfigApplication in 7.074 seconds (JVM running for 7.819)
2024-10-24 22:23:42 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-24 22:23:42 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-10-24 22:23:42 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
